coder_id,unit_id,occupation,section,track_type,track_name,unit_name,learning_goal_text,student_label,student_confidence,student_rationale
,elektroniker_a_11_b,Elektroniker/Elektronikerin,"Abschnitt A: fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Montieren und Installieren von Netzwerken (§ 4 Absatz 2 Nummer 11),"Standardsoftware und Anwendungssoftware nach Einsatzbereichen auswählen, konfigurieren und anpassen sowie Kompatibilität zu Hardware- und Systemvoraussetzungen beurteilen und installieren",,,
,elektroniker_a_2_f,Elektroniker/Elektronikerin,"Abschnitt A: fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Planen und Organisieren der Arbeit (§ 4 Absatz 2 Nummer 2),"Einhaltung von Terminen verfolgen, bei Störungen der Leistungserbringung Kunden und Kundinnen informieren und Lösungsvarianten aufzeigen",,,
,elektroniker_a_4_e,Elektroniker/Elektronikerin,"Abschnitt A: fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Beraten und Betreuen von Kunden und Kundinnen (§ 4 Absatz 2 Nummer 4),Kunden und Kundinnen über den Auftrag hinausgehende Leistungen anbieten,,,
,elektroniker_a_4_r,Elektroniker/Elektronikerin,"Abschnitt A: fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Beraten und Betreuen von Kunden und Kundinnen (§ 4 Absatz 2 Nummer 4),bei der Durchführung von Schulungen und bei der Erfolgskontrolle dieser Schulungen mitwirken,,,
,elektroniker_b_6_a,Elektroniker/Elektronikerin,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in der Fachrichtung Energie- und Gebäudetechnik",fachrichtung,Energie- und Gebäudetechnik,Durchführen von Wiederholungsprüfungen entsprechend geltender Normen und Instandhalten von gebäudetechnischen Systemen (§ 4 Absatz 3 Nummer 6),durch Kundengespräch Fehler eingrenzen,,,
,elektroniker_b_6_d,Elektroniker/Elektronikerin,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in der Fachrichtung Energie- und Gebäudetechnik",fachrichtung,Energie- und Gebäudetechnik,Durchführen von Wiederholungsprüfungen entsprechend geltender Normen und Instandhalten von gebäudetechnischen Systemen (§ 4 Absatz 3 Nummer 6),elektromagnetische Verträglichkeit beachten,,,
,elektroniker_b_6_k,Elektroniker/Elektronikerin,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in der Fachrichtung Energie- und Gebäudetechnik",fachrichtung,Energie- und Gebäudetechnik,Durchführen von Wiederholungsprüfungen entsprechend geltender Normen und Instandhalten von gebäudetechnischen Systemen (§ 4 Absatz 3 Nummer 6),Sichtprüfungen von Brandschottungen durchführen und Leitungsdurchführungen überprüfen,,,
,elektroniker_b_6_l,Elektroniker/Elektronikerin,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in der Fachrichtung Energie- und Gebäudetechnik",fachrichtung,Energie- und Gebäudetechnik,Durchführen von Wiederholungsprüfungen entsprechend geltender Normen und Instandhalten von gebäudetechnischen Systemen (§ 4 Absatz 3 Nummer 6),Wartungsarbeiten durchführen,,,
,elektroniker_c_1_h,Elektroniker/Elektronikerin,"Abschnitt C: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in der Fachrichtung Automatisierungs- und Systemtechnik",fachrichtung,Automatisierungs- und Systemtechnik,Konzipieren von Systemen der Automatisierungstechnik (§ 4 Absatz 4 Nummer 1),die konzipierte Leistung dokumentieren und präsentieren,,,
,elektroniker_c_4_e,Elektroniker/Elektronikerin,"Abschnitt C: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in der Fachrichtung Automatisierungs- und Systemtechnik",fachrichtung,Automatisierungs- und Systemtechnik,"Prüfen, Instandhalten und Optimieren von Automatisierungssystemen (§ 4 Absatz 4 Nummer 4)",systematische Fehlersuche an automatisierten Anlagen durchführen,,,
,elektroniker_d_2_c,Elektroniker/Elektronikerin,"Abschnitt D: integrativ zu vermittelnde Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Sicherheit und Gesundheit bei der Arbeit (§ 4 Absatz 5 Nummer 2),sicheres und gesundheitsgerechtes Arbeiten erläutern,,,
,elektroniker_d_2_f,Elektroniker/Elektronikerin,"Abschnitt D: integrativ zu vermittelnde Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Sicherheit und Gesundheit bei der Arbeit (§ 4 Absatz 5 Nummer 2),Verhaltensweisen bei Unfällen beschreiben und erste Maßnahmen bei Unfällen einleiten,,,
,fachinformatiker_a_1_i,Fachinformatiker/Fachinformatikerin,"Abschnitt A: fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,"Planen, Vorbereiten und Durchführen von Arbeitsaufgaben in Abstimmung mit den kundenspezifischen Geschäfts- und Leistungsprozessen (§ 4 Absatz 2 Nummer 1)",eigene Vorgehensweise sowie die Aufgabendurchführung im Team reflektieren und bei der Verbesserung der Arbeitsprozesse mitwirken,,,
,fachinformatiker_a_3_b,Fachinformatiker/Fachinformatikerin,"Abschnitt A: fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Beurteilen marktgängiger IT-Systeme und kundenspezifischer Lösungen (§ 4 Absatz 2 Nummer 3),"Angebote zu IT-Komponenten, IT-Produkten und IT-Dienstleistungen einholen und bewerten sowie Spezifikationen und Konditionen vergleichen",,,
,fachinformatiker_a_6_e,Fachinformatiker/Fachinformatikerin,"Abschnitt A: fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,"Umsetzen, Integrieren und Prüfen von Maßnahmen zur IT-Sicherheit und zum Datenschutz (§ 4 Absatz 2 Nummer 6)",Wirksamkeit und Effizienz der umgesetzten Maßnahmen zur IT-Sicherheit und zum Datenschutz prüfen,,,
,fachinformatiker_a_8_b,Fachinformatiker/Fachinformatikerin,"Abschnitt A: fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8),Datenaustausch von vernetzten Systemen realisieren,,,
,fachinformatiker_a_8_e,Fachinformatiker/Fachinformatikerin,"Abschnitt A: fachrichtungsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Betreiben von IT-Systemen (§ 4 Absatz 2 Nummer 8),Störungsmeldungen aufnehmen und analysieren sowie Maßnahmen zur Störungsbeseitigung ergreifen,,,
,fachinformatiker_b_2_c,Fachinformatiker/Fachinformatikerin,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in der Fachrichtung Anwendungsentwicklung",fachrichtung,Anwendungsentwicklung,Sicherstellen der Qualität von Softwareanwendungen (§ 4 Absatz 3 Nummer 2),Modultests erstellen und durchführen,,,
,fachinformatiker_d_4_b,Fachinformatiker/Fachinformatikerin,"Abschnitt D: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in der Fachrichtung Daten- und Prozessanalyse",fachrichtung,Daten- und Prozessanalyse,Umsetzen des Datenschutzes und der Schutzziele der Datensicherheit (§ 4 Absatz 5 Nummer 4),"Benutzer-, Zugriffs- und Datenhaltungs- sowie Datensicherungskonzepte erstellen und dabei die verschiedenen Datenklassifizierungen berücksichtigen",,,
,fachinformatiker_e_1_c,Fachinformatiker/Fachinformatikerin,"Abschnitt E: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in der Fachrichtung Digitale Vernetzung",fachrichtung,Digitale Vernetzung,Analysieren und Planen von Systemen zur Vernetzung von Prozessen und Produkten (§ 4 Absatz 6 Nummer 1),"bei der Planung Aspekte der IT-Sicherheit und technische Rahmenbedingungen, insbesondere Netzwerkanforderungen, berücksichtigen",,,
,fachinformatiker_e_2_f,Fachinformatiker/Fachinformatikerin,"Abschnitt E: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in der Fachrichtung Digitale Vernetzung",fachrichtung,Digitale Vernetzung,"Errichten, Ändern und Prüfen von vernetzten Systemen (§ 4 Absatz 6 Nummer 2)","Systeme in Betrieb nehmen, Inbetriebnahmeprotokolle erstellen und Systeme übergeben",,,
,fachinformatiker_e_3_h,Fachinformatiker/Fachinformatikerin,"Abschnitt E: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in der Fachrichtung Digitale Vernetzung",fachrichtung,Digitale Vernetzung,Betreiben von vernetzten Systemen und Sicherstellung der Systemverfügbarkeit (§ 4 Absatz 6 Nummer 3),Systemaktualisierungen vornehmen und Optimierungen vorschlagen,,,
,fachinformatiker_f_2_a,Fachinformatiker/Fachinformatikerin,"Abschnitt F: fachrichtungsübergreifende, integrativ zu vermittelnde Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Aufbau und Organisation des Ausbildungsbetriebes (§ 4 Absatz 7 Nummer 2),die Rechtsform und den organisatorischen Aufbau des Ausbildungsbetriebes mit seinen Aufgaben und Zuständigkeiten sowie die Zusammenhänge zwischen den Geschäftsprozessen erläutern,,,
,fachinformatiker_f_4_a,Fachinformatiker/Fachinformatikerin,"Abschnitt F: fachrichtungsübergreifende, integrativ zu vermittelnde Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Umweltschutz (§ 4 Absatz 7 Nummer 4),"Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen, insbesondere mögliche Umweltbelastungen durch den Ausbildungsbetrieb und seinen Beitrag zum Umweltschutz an Beispielen erklären",,,
,friseur_a_2_2_e,Friseur/Friseurin,"Abschnitt A: Gemeinsame berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Haarschneiden (§ 4 Abs. 2 Abschnitt A Nr. 2.2),Haarschnitte überprüfen; Korrekturen durchführen,,,
,friseur_a_2_3_g,Friseur/Friseurin,"Abschnitt A: Gemeinsame berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Gestalten von Frisuren (§ 4 Abs. 2 Abschnitt A Nr. 2.3),Styling- und Finishtechniken einsetzen,,,
,friseur_a_2_4_b,Friseur/Friseurin,"Abschnitt A: Gemeinsame berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Dauerhaft Umformen (§ 4 Abs. 2 Abschnitt A Nr. 2.4),Präparate auswählen und einsetzen,,,
,friseur_a_2_5_c,Friseur/Friseurin,"Abschnitt A: Gemeinsame berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Farbverändernde Haarbehandlungen (§ 4 Abs. 2 Abschnitt A Nr. 2.5),Methoden der Farb- und Strähnenbehandlung und Applikationstechniken auswählen,,,
,friseur_a_3_b,Friseur/Friseurin,"Abschnitt A: Gemeinsame berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Dekorative Kosmetik und Maniküre (§ 4 Abs. 2 Abschnitt A Nr. 3),Haut reinigen und Kompressen legen,,,
,friseur_a_3_h,Friseur/Friseurin,"Abschnitt A: Gemeinsame berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Dekorative Kosmetik und Maniküre (§ 4 Abs. 2 Abschnitt A Nr. 3),Hände und Unterarme mit ausgewählten Präparaten massieren,,,
,friseur_a_3_i,Friseur/Friseurin,"Abschnitt A: Gemeinsame berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Dekorative Kosmetik und Maniküre (§ 4 Abs. 2 Abschnitt A Nr. 3),Make-up für besondere Anlässe gestalten,,,
,friseur_a_4_5_c,Friseur/Friseurin,"Abschnitt A: Gemeinsame berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Arbeiten im Team (§ 4 Abs. 2 Abschnitt A Nr. 4.5),Aufgaben im Team planen und ausführen,,,
,friseur_b_4_c,Friseur/Friseurin,"Abschnitt B: Weitere berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in den Wahlqualifikationseinheiten",wahlqualifikation,Coloration (§ 4 Abs. 2 Abschnitt B Nr. 4),Coloration (§ 4 Abs. 2 Abschnitt B Nr. 4),Ausgangsfarbe und Zielfarbe aufeinander abstimmen,,,
,friseur_c_1_f,Friseur/Friseurin,"Abschnitt C: integrativ zu vermittelnde Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,"Organisation des Ausbildungsbetriebes, Berufsbildung sowie Arbeits- und Tarifrecht (§ 4 Absatz 2 Abschnitt C Nummer 1)",Beziehungen des Ausbildungsbetriebes und seiner Beschäftigten zu Wirtschaftsorganisationen und Gewerkschaften erläutern,,,
,friseur_c_4_a,Friseur/Friseurin,"Abschnitt C: integrativ zu vermittelnde Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Digitalisierte Arbeitswelt (§ 4 Absatz 2 Abschnitt C Nummer 4),mit eigenen und betriebsbezogenen Daten sowie mit Daten Dritter umgehen und dabei die Vorschriften zum Datenschutz und zur Datensicherheit einhalten,,,
,friseur_c_4_b,Friseur/Friseurin,"Abschnitt C: integrativ zu vermittelnde Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Digitalisierte Arbeitswelt (§ 4 Absatz 2 Abschnitt C Nummer 4),Risiken bei der Nutzung von digitalen Medien und informationstechnischen Systemen einschätzen und bei deren Nutzung betriebliche Regelungen einhalten,,,
,mechatroniker_main_12_d,Mechatroniker/Mechatronikerin,Anlage 1: Ausbildungsrahmenplan,gemeinsam,gemeinsame Inhalte,Installieren elektrischer Baugruppen und Komponenten (§ 3 Absatz 2 Nummer 12),Leitungswege nach baulichen und örtlichen Gegebenheiten festlegen,,,
,mechatroniker_main_14_b,Mechatroniker/Mechatronikerin,Anlage 1: Ausbildungsrahmenplan,gemeinsam,gemeinsame Inhalte,Installieren und Testen von Hard- und Softwarekomponenten (§ 3 Absatz 2 Nummer 14),Systemkomponenten zusammenstellen und verbinden,,,
,mechatroniker_main_15_g,Mechatroniker/Mechatronikerin,Anlage 1: Ausbildungsrahmenplan,gemeinsam,gemeinsame Inhalte,Aufbauen und Prüfen von Steuerungen (§ 3 Absatz 2 Nummer 15),"Sensoren, Aktoren und Wandler installieren",,,
,mechatroniker_main_17_k,Mechatroniker/Mechatronikerin,Anlage 1: Ausbildungsrahmenplan,gemeinsam,gemeinsame Inhalte,Zusammenbauen von Baugruppen und Komponenten zu Maschinen und Systemen (§ 3 Absatz 2 Nummer 17),"Sensoren einbauen, einstellen und verbinden",,,
,mechatroniker_main_20_a,Mechatroniker/Mechatronikerin,Anlage 1: Ausbildungsrahmenplan,gemeinsam,gemeinsame Inhalte,Inbetriebnehmen und Bedienen mechatronischer Systeme (§ 3 Absatz 2 Nummer 20),Schutz gegen direktes Berühren prüfen,,,
,mechatroniker_main_4_d,Mechatroniker/Mechatronikerin,Anlage 1: Ausbildungsrahmenplan,gemeinsam,gemeinsame Inhalte,Umweltschutz (§ 3 Absatz 2 Nummer 4),"Zur Vermeidung betriebsbedingter Umweltbelastungen im beruflichen Einwirkungsbereich beitragen, insbesondere Abfälle vermeiden, Stoffe und Materialien einer umweltschonenden Entsorgung zuführen",,,
,mechatroniker_main_5_j,Mechatroniker/Mechatronikerin,Anlage 1: Ausbildungsrahmenplan,gemeinsam,gemeinsame Inhalte,"Digitalisierung der Arbeit, Datenschutz und Informationssicherheit (§ 3 Absatz 2 Nummer 5)",Auffälligkeiten und Unregelmäßigkeiten in IT-Systemen erkennen und Maßnahmen zur Beseitigung ergreifen,,,
,mechatroniker_main_6_a,Mechatroniker/Mechatronikerin,Anlage 1: Ausbildungsrahmenplan,gemeinsam,gemeinsame Inhalte,Betriebliche und technische Kommunikation (§ 3 Absatz 2 Nummer 6),"Gespräche mit Vorgesetzten und Mitarbeitern und im Team situationsgerecht führen, Sachverhalte darstellen, deutsche und englische Fachausdrücke anwenden",,,
,mechatroniker_main_6_m,Mechatroniker/Mechatronikerin,Anlage 1: Ausbildungsrahmenplan,gemeinsam,gemeinsame Inhalte,Betriebliche und technische Kommunikation (§ 3 Absatz 2 Nummer 6),"im virtuellen Raum zusammenarbeiten, Produkt- und Prozessdaten sowie Handlungsanweisungen und Funktionsbeschreibungen austauschen",,,
,mechatroniker_main_6_o,Mechatroniker/Mechatronikerin,Anlage 1: Ausbildungsrahmenplan,gemeinsam,gemeinsame Inhalte,Betriebliche und technische Kommunikation (§ 3 Absatz 2 Nummer 6),betriebliche Informations- und Kommunikationssysteme nutzen,,,
,mechatroniker_main_7_e,Mechatroniker/Mechatronikerin,Anlage 1: Ausbildungsrahmenplan,gemeinsam,gemeinsame Inhalte,"Planen und Steuern von Arbeitsabläufen, Kontrollieren und Beurteilen der Arbeitsergebnisse (§ 3 Absatz 2 Nummer 7)","Werkzeuge, Geräte und Diagnosesysteme sowie Material und Hilfsmittel auftragsbezogen anfordern und bereitstellen",,,
,mechatroniker_main_9_b,Mechatroniker/Mechatronikerin,Anlage 1: Ausbildungsrahmenplan,gemeinsam,gemeinsame Inhalte,"Prüfen, Anreißen und Kennzeichnen (§ 3 Absatz 2 Nummer 9)","Längen messen, Einhaltung von Toleranzen und Passungen prüfen",,,
