evaluation,unit_id,occupation,learning_goal_text,reference_label,model_probability,model_label,error_type
Leave-one-occupation-out,fachinformatiker_d_4_b,Fachinformatiker/Fachinformatikerin,"Benutzer-, Zugriffs- und Datenhaltungs- sowie Datensicherungskonzepte erstellen und dabei die verschiedenen Datenklassifizierungen berücksichtigen",1,0.21453479822028976,0,False Negative
Leave-one-occupation-out,fachinformatiker_e_1_c,Fachinformatiker/Fachinformatikerin,"bei der Planung Aspekte der IT-Sicherheit und technische Rahmenbedingungen, insbesondere Netzwerkanforderungen, berücksichtigen",1,0.2499545084807041,0,False Negative
Leave-one-occupation-out,fachinformatiker_e_2_f,Fachinformatiker/Fachinformatikerin,"Systeme in Betrieb nehmen, Inbetriebnahmeprotokolle erstellen und Systeme übergeben",1,0.3238273275248346,0,False Negative
Leave-one-occupation-out,fachinformatiker_e_3_h,Fachinformatiker/Fachinformatikerin,Systemaktualisierungen vornehmen und Optimierungen vorschlagen,1,0.32375730493362925,0,False Negative
Leave-one-occupation-out,friseur_c_4_a,Friseur/Friseurin,mit eigenen und betriebsbezogenen Daten sowie mit Daten Dritter umgehen und dabei die Vorschriften zum Datenschutz und zur Datensicherheit einhalten,1,0.47564642694021364,0,False Negative
Leave-one-occupation-out,mechatroniker_main_14_b,Mechatroniker/Mechatronikerin,Systemkomponenten zusammenstellen und verbinden,1,0.37143495378534785,0,False Negative
Leave-one-occupation-out,mechatroniker_main_17_k,Mechatroniker/Mechatronikerin,"Sensoren einbauen, einstellen und verbinden",0,0.5058543417880901,1,False Positive
Leave-one-occupation-out,mechatroniker_main_20_a,Mechatroniker/Mechatronikerin,Schutz gegen direktes Berühren prüfen,0,0.5786463486418205,1,False Positive
Leave-one-occupation-out,mechatroniker_main_5_j,Mechatroniker/Mechatronikerin,Auffälligkeiten und Unregelmäßigkeiten in IT-Systemen erkennen und Maßnahmen zur Beseitigung ergreifen,1,0.4564786720837824,0,False Negative
Leave-one-occupation-out,mechatroniker_main_6_m,Mechatroniker/Mechatronikerin,"im virtuellen Raum zusammenarbeiten, Produkt- und Prozessdaten sowie Handlungsanweisungen und Funktionsbeschreibungen austauschen",1,0.37143495378534785,0,False Negative
Leave-one-occupation-out,mechatroniker_main_6_o,Mechatroniker/Mechatronikerin,betriebliche Informations- und Kommunikationssysteme nutzen,1,0.37143495378534785,0,False Negative
Leave-one-occupation-out,mechatroniker_main_9_b,Mechatroniker/Mechatronikerin,"Längen messen, Einhaltung von Toleranzen und Passungen prüfen",0,0.6055645667221573,1,False Positive
